,budget,revenue
1229,5500000,0
1230,5500000,0
1231,5500000,0
1232,5500000,0
1233,5500000,0
1234,5500000,0
1235,5500000,0
1236,5600000,0
1237,5600000,0
1238,5750000,0
1239,5760000,0
1240,5773100,0
1241,5800000,0
1242,5800000,0
1243,5900000,0
1244,5952000,0
1245,5990000,0
1246,6000000,0
1247,6000000,0
1248,6000000,0
1249,6000000,0
1250,6000000,0
1251,6000000,0
1252,6000000,0
1253,6000000,0
1254,6000000,0
1255,6000000,0
1256,6000000,0
1257,6000000,0
1258,6000000,0
1259,6000000,0
1260,6000000,0
1261,6000000,0
1262,6000000,0
1263,6000000,0
1264,6000000,0
1265,6000000,0
1266,6000000,0
1267,6000000,0
1268,6000000,0
1269,6000000,0
1270,6000000,0
1271,6000000,0
1272,6000000,0
1273,6000000,0
1274,6000000,0
1275,6000000,0
1276,6000000,0
1277,6000000,0
1278,6000000,0
1279,6000000,0
1280,6000000,0
1281,6000000,0
1282,6000000,0
1283,6000000,0
1284,6000000,0
1285,6000000,0
1286,6000000,0
1287,6000000,0
1288,6000000,0
1289,6000000,0
1290,6000000,0
1291,6000000,0
1292,6000000,0
1293,6000000,0
1294,6000000,0
1295,6000000,0
1296,6000000,0
1297,6000000,0
1298,6000000,0
1299,6000000,0
1300,6000000,0
1301,6000000,0
1302,6000000,0
1303,6000000,0
1304,6000000,0
1305,6000000,0
1306,6000000,0
1307,6000000,0
1308,6000000,0
1309,6000000,0
1310,6000000,0
1311,6000000,0
1312,6000000,0
1313,6000000,0
1314,6000000,0
1315,6000000,2
1316,6000000,2
1317,6000000,3
1318,6000000,5
1319,6000000,5
1320,6000000,6
1321,6000000,6
1322,6000000,11
1323,6000000,11
1324,6000000,11
1325,6000000,12
1326,6000000,13
1327,6000000,15
1328,6000000,15
1329,6000000,16
1330,6000000,16
1331,6000000,16
1332,6000000,23
1333,6000000,27
1334,6000000,30
1335,6000000,42
1336,6000000,43
1337,6000000,46
1338,6000000,78
1339,6000000,100
1340,6000000,122
1341,6000000,134
1342,6000000,144
1343,6000000,193
1344,6000000,200
1345,6000000,250
1346,6000000,1378
1347,6000000,1938
1348,6000000,2521
1349,6000000,3003
1350,6000000,3010
1351,6000000,3358
1352,6000000,3561
1353,6000000,5206
1354,6000000,6000
1355,6100000,6147
1356,6100000,6399
1357,6200000,7202
1358,6200000,7306
1359,6218100,8139
1360,6244087,9221
1361,6300000,9318
1362,6300000,9747
1363,6400000,10000
1364,6400000,10289
1365,6400000,13308
1366,6400000,14000
1367,6400000,15071
1368,6400000,17472
1369,6500000,17479
1370,6500000,18097
1371,6500000,18295
1372,6500000,20380
1373,6500000,22000
1374,6500000,30283
1375,6500000,30471
1376,6500000,30905
1377,6500000,31081
1378,6500000,31576
1379,6500000,32251
1380,6500000,33245
1381,6500000,42070
1382,6500000,44462
1383,6500000,45431
1384,6500000,46474
1385,6500000,46488
1386,6500000,46495
1387,6500000,48390
1388,6500000,50136
1389,6500000,52604
1390,6500000,53086
1391,6500000,54207
1392,6500000,54947
1393,6500000,55089
1394,6500000,55125
1395,6500000,56000
1396,6500000,56825
1397,6500000,59209
1398,6600000,60641
1399,6600000,66351
1400,6700000,69497
1401,6700000,69564
1402,6727000,71368
1403,6800000,73706
1404,6800000,74918
1405,6800000,75143
1406,6800000,76382
1407,6900000,78396
1408,6900000,84967
1409,6900000,88273
1410,6965576,90777
1411,7000000,95000
1412,7000000,98017
1413,7000000,100000
1414,7000000,100915
1415,7000000,101236
1416,7000000,103735
1417,7000000,107559
1418,7000000,109130
1419,7000000,113221
1420,7000000,120000
1421,7000000,120620
1422,7000000,121179
1423,7000000,123820
1424,7000000,124494
1425,7000000,143000
1426,7000000,143101
1427,7000000,143191
1428,7000000,143451
1429,7000000,146402
1430,7000000,150277
1431,7000000,153155
1432,7000000,154323
1433,7000000,163169
1434,7000000,163265
1435,7000000,165000
1436,7000000,171760
1437,7000000,173066
1438,7000000,176153
1439,7000000,178104
1440,7000000,185898
1441,7000000,186702
1442,7000000,187112
1443,7000000,187674
1444,7000000,187716
1445,7000000,204940
1446,7000000,205068
1447,7000000,206871
1448,7000000,208588
1449,7000000,209696
1450,7000000,216166
1451,7000000,220151
1452,7000000,222559
1453,7000000,225861
1454,7000000,232732
1455,7000000,238227
1456,7000000,242623
1457,7000000,245000
1458,7000000,249905
1459,7000000,251495
1460,7000000,253899
1461,7000000,260562
1462,7000000,274661
1463,7000000,295206
1464,7000000,295750
1465,7000000,296557
1466,7000000,300000
1467,7000000,303877
1468,7000000,305070
1469,7000000,317000
1470,7000000,318982
1471,7000000,324138
1472,7000000,332323
1473,7000000,346592
1474,7000000,346594
1475,7000000,350006
1476,7000000,352810
1477,7000000,354704
1478,7000000,355688
1479,7000000,365134
1480,7000000,373967
1481,7000000,374743
1482,7000000,376597
1483,7000000,381420
1484,7000000,382174
1485,7000000,382267
1486,7000000,382946
1487,7000000,391410
1488,7000000,395000
1489,7000000,405000
1490,7000000,413454
1491,7000000,416925
1492,7000000,418961
1493,7000000,419953
1494,7000000,424760
1495,7000000,426224
1496,7000000,428868
1497,7000000,432274
1498,7000000,444098
1499,7000000,447741
1500,7000000,453079
1501,7000000,460978
1502,7000000,466088
1503,7200000,469947
1504,7200000,480314
1505,7200000,490475
1506,7200000,495303
1507,7200000,498974
1508,7200000,501818
1509,7300000,502758
1510,7300000,529766
1511,7347125,530048
1512,7400000,560069
1513,7500000,569217
1514,7500000,572809
1515,7500000,573335
1516,7500000,589244
1517,7500000,598645
1518,7500000,600896
1519,7500000,603943
1520,7500000,610792
1521,7500000,610986
1522,7500000,617000
1523,7500000,622806
1524,7500000,631221
1525,7500000,635096
1526,7500000,638641
1527,7500000,653621
1528,7500000,653651
1529,7500000,672648
1530,7500000,674918
1531,7500000,676698
1532,7500000,695269
1533,7700000,705308
1534,7700000,712294
1535,7700000,725131
1536,7720000,741875
1537,7800000,742898
1538,7920000,744816
1539,8000000,745327
1540,8000000,754249
1541,8000000,760883
1542,8000000,770706
1543,8000000,771317
1544,8000000,777423
1545,8000000,791830
1546,8000000,791867
1547,8000000,793775
1548,8000000,801000
1549,8000000,814666
1550,8000000,819939
1551,8000000,823258
1552,8000000,851517
1553,8000000,852872
1554,8000000,861789
1555,8000000,866999
1556,8000000,867714
1557,8000000,868439
1558,8000000,870751
1559,8000000,871279
1560,8000000,875386
1561,8000000,900000
1562,8000000,908847
1563,8000000,967000
1564,8000000,967000
1565,8000000,970816
1566,8000000,972512
1567,8000000,973525
1568,8000000,985117
1569,8000000,1000000
1570,8000000,1000000
1571,8000000,1000000
1572,8000000,1000000
1573,8000000,1000549
1574,8000000,1007962
1575,8000000,1017401
1576,8000000,1020921
1577,8000000,1021398
1578,8000000,1030375
1579,8000000,1034589
1580,8000000,1037335
1581,8000000,1060056
1582,8000000,1066471
1583,8000000,1068682
1584,8000000,1072602
1585,8000000,1083683
1586,8000000,1100000
1587,8000000,1104682
1588,8000000,1109660
1589,8000000,1115493
1590,8000000,1132112
1591,8000000,1143856
1592,8000000,1145404
1593,8000000,1148752
1594,8000000,1151330
1595,8000000,1163967
1596,8000000,1165882
1597,8000000,1189315
1598,8000000,1189612
1599,8000000,1193062
1600,8000000,1196307
1601,8000000,1243961
1602,8000000,1258000
1603,8000000,1261000
1604,8000000,1270522
1605,8000000,1296184
1606,8000000,1296971
1607,8000000,1300000
1608,8000000,1332231
1609,8000000,1353868
1610,8000000,1359910
1611,8000000,1381665
1612,8000000,1402307
1613,8000000,1411927
1614,8000000,1429299
1615,8000000,1430655
1616,8000000,1431623
1617,8000000,1434436
1618,8000000,1456675
1619,8000000,1461989
1620,8000000,1477002
1621,8000000,1479042
1622,8000000,1500000
1623,8000000,1521261
1624,8000000,1531251
1625,8000000,1548955
1626,8000000,1554000
1627,8000000,1568749
1628,8000000,1569918
1629,8000000,1576687
1630,8000000,1585582
1631,8000000,1631839
1632,8000000,1641825
1633,8000000,1644755
1634,8000000,1646788
1635,8000000,1653792
1636,8000000,1667192
1637,8000000,1675381
1638,8000000,1678874
1639,8000000,1686429
1640,8000000,1744858
1641,8045760,1749457
1642,8169363,1755212
1643,8200000,1759252
1644,8200000,1776935
1645,8200000,1784763
1646,8256269,1826705
1647,8300000,1862805
1648,8376800,1863315
1649,8400000,1914166
1650,8500000,1943649
1651,8500000,1969193
1652,8500000,1980338
1653,8500000,2000000
1654,8500000,2000000
1655,8500000,2000000
1656,8500000,2000000
1657,8500000,2000000
1658,8500000,2019009
1659,8500000,2019469
1660,8500000,2023414
1661,8500000,2025238
